 % ---------- pFEM ---------
 % File generated by pFEM
 % Creation time: 17:55:0, 14/3/2022
 % ---------- pFEM ---------
         iter     nr_dof                     MinP                     MaxP                    Error                    Lower 
           1          33           2           2   1.4094726788931251       0.71255289271483868     
           2         113           2           2  0.86018429509978289       0.29006508795766034     
           3         361           2           2  0.32535314807146615       0.10684697936313428     
           4        1033           2           2  0.12764966293845958        4.1100437663839716E-002
           5        2329           2           2   5.0541008928844500E-002   1.6024647206229883E-002
           6        5953           2           2   2.0077440344903868E-002   6.3166189323502738E-003
           7       14185           2           2   7.9021920635988282E-003   2.4776743273515816E-003
           8       29905           2           2   3.1324440532137041E-003   9.8019030762289345E-004
           9       75729           2           2   1.2376499635765753E-003   3.8721835252821359E-004
          10      161337           2           2   4.9035340101734185E-004   1.5331393936027964E-004
          11      389937           2           2   1.9441485037054832E-004   6.0761328081047799E-005
