 % ---------- pFEM ---------
 % File generated by pFEM
 % Creation time: 18:48:46, 5/4/2022
 % ---------- pFEM ---------
         iter     nr_dof                     MinP                     MaxP                    Error                    Lower 
           1          73           1           1   48.634249801346961        74.929973235281508     
           2         255           3           3   240.34106812941593        8.7463916649909468     
           3        3233           1           3   2.2111085233737562        4.0868922471197312E-002
           4        8642           3           5   5.4189382541336917        9.1501675550124228E-002
           5       13928           1           5   1.2508652735227057       0.12237317438960281     
           6       24239           3           7   1.2952462440153945       0.11586483424784150     
           7       41256           1           7  0.18000131800859800        7.9374988632418826E-004
           8       70736           2           9  0.14950248723706916        5.6802419633728907E-004
           9       98726           1           9  0.11620126129506005        5.5186209741039962E-005
